"","x"
"AMBP",1.12651029883574
"TNFSF15",-1.95200228431988
"TNC",-2.38514533712242
"PAPPA",-2.01916517410788
"PTGS1",-3.59858722671994
"LHX2",1.27879529040668
"NR6A1",1.41417381126228
"ANGPTL2",-1.8631847068849
"ENG",1.27781649754582
"CERCAM",-1.44155196763224
"PRRX2",2.26465647432652
"FAM78A",2.18102229433035
"COL5A1",-2.0990840671088
"LCN1",-1.55919316528633
"SAPCD2",1.9203532671841
"NRARP",1.15891688103017
"TUBBP5",1.86258582235522
"AKR1C1",1.40371493340148
"AKR1C3",1.66523102823601
"CAMK1D",-1.45341774098327
"OPTN",-1.36782128495018
"FAM107B",-1.42544372746152
"ACBD7",1.18184838676411
"ITGA8",-1.93796811439211
"CACNB2",2.33296150708634
"NEBL",2.84485508702761
"GPR158",-1.49958216160669
"APBB1IP",-1.35711461333513
"GDF2",1.79947482949218
"ERCC6",-1.13794657339899
"CHAT",-4.15936622947711
"SLC18A3",-7.43275292587432
"SGMS1",-1.06970105483159
"A1CF",1.6047576565844
"CISD1",1.08814075963955
"CDK1",1.35564181124734
"ARID5B",-1.08546508991689
"CTNNA3",2.10896590786652
"TET1",1.07104620912441
"HK1",1.72950099263309
"UNC5B",1.12812709176096
"VSIR",-2.0121971450637
"OIT3",2.39816913819621
"PLA2G12B",1.62029918240715
"SNORA11F",1.1283347515175
"SYNPO2L",2.28187702742678
"LDB3",1.68801899763128
"IFIT3",-2.06756851912589
"SLC16A12",2.45708464369909
"KIF20B",1.09788946634311
"ANKRD1",2.72587693097585
"PCGF5",1.73232751700324
"KIF11",1.48665577303408
"HHEX",3.67878765555532
"CEP55",1.19749761368974
"RBP4",1.25309908064082
"PDLIM1",-1.49106821717478
"FRAT1",1.96542536021076
"FRAT2",1.12310495187733
"SFRP5",1.85757293356483
"LOXL4",-3.4595418628411
"CNNM1",1.1863439028261
"GOT1",1.49855423017893
"SNORA12",1.34856956641333
"SCD",1.10017053459026
"OLMALINC",1.3041324693061
"SLF2",1.45814081110839
"TLX1",1.15237471676175
"FGF8",1.96414024162229
"KCNIP2",2.41776790847172
"PITX3",-2.1000780937303
"PSD",-1.29063806981337
"CNNM2",1.2260814081402
"MXI1",1.42387802952014
"DUSP5",1.56959780170515
"RBM20",2.2469365178359
"HABP2",2.29803719889828
"AFAP1L2",-1.65376730303193
"ABLIM1",1.35741523628574
"ATRNL1",-1.05168409547261
"SPMIP5",1.0163791494537
"PLPP4",-1.12220106354814
"FGFR2",-1.1190431351826
"ADAM12",-2.79743621523406
"MKI67",1.84442757926501
"BNIP3",1.8300459278228
"LOC107984282",1.39691289987178
"IFITM3",-1.07115661279383
"IGF2-AS",-1.23857166712954
"CAVIN3",-2.53288792062704
"CYB5R2",-1.47878339805045
"DKK3",1.7081273903731
"MICAL2",1.39018587062016
"PARVA",-1.03603252938607
"RASSF10",3.13197493211163
"SOX6",-1.18862767027345
"KCNJ11",1.7402888297596
"NELL1",-2.78039244574244
"FIBIN",-1.23166850444049
"BDNF",-1.49004926874718
"KIF18A",1.33054686116728
"LMO2",3.43681960451347
"FJX1",-3.12365133321236
"LRRC4C",-1.25874043982182
"ALX4",-4.80485719094964
"CREB3L1",-1.85233976812209
"F2",2.0858775846986
"MYBPC3",2.03936766782669
"SLC43A1",1.02876267137421
"AHNAK",-1.24336984065579
"RPS6KA4",-1.48691110531421
"PYGM",1.19393926265882
"TMEM151A",-1.85865574316019
"CD248",-2.00480305855468
"SPTBN2",-1.34906460076381
"LOC124902696",2.04397765299515
"TCIRG1",-1.12213144474305
"LOC124902711",-1.15289632884964
"GDPD5",-1.31285157526389
"DGAT2",1.86972531456392
"LRRC32",-1.61772821396045
"TENM4",1.2524098130937
"PRSS23",-1.57202690782917
"TMEM135",1.25101606946975
"RAB38",-1.60012964847361
"NOX4",-2.56382114141782
"ENDOD1",-2.15605049456382
"CNTN5",-3.05727157569402
"CARD16",-3.10154571474351
"GRIA4",-1.86351446918102
"SLN",-2.41903677159652
"SLC35F2",-1.22868964550298
"LAYN",-2.07729361267131
"HSPB2",2.25126537213297
"DLAT",1.05755169118448
"DRD2",-3.0054368443846
"USP28",1.33026563898906
"NNMT",-4.74004541560618
"USP2",1.22046326283395
"THY1",-2.64303259566358
"SORL1",1.92102796758383
"MIR100HG",1.44091916101186
"LOC124902775",1.33842562962979
"SCN3B",-2.77262528546044
"CDON",-1.52366718785027
"KCNJ5",2.1761757375801
"ADAMTS8",1.14608662466313
"NTM",-2.90561686918119
"SLC6A13",-2.73246450187139
"CCND2",-1.02870750261519
"NTF3",2.3225460953658
"TNFRSF1A",-1.38924793190264
"LTBR",-2.52778296460992
"NCAPD2",1.42552812506576
"P3H3",-1.14523084970803
"GNB3",-3.03507878088031
"CDCA3",1.47554142859754
"C1S",-1.05066692329194
"C1R",-1.24609822982544
"SLC2A3",1.04641071244355
"LOC124902871",1.65743283474239
"MFAP5",-2.66564610792656
"A2M",1.3412005782675
"OLR1",-3.29790182443856
"GPR19",2.38216393786953
"APOLD1",1.31893016921155
"ART4",-2.2240932918196
"MGP",-7.14503531777388
"ERP27",-1.3791313829837
"ARHGDIB",-1.84428560206747
"MGST1",1.44153412859914
"KCNJ8",1.39968177315181
"ITPR2",-2.28289976014717
"STK38L",-1.09182250409954
"TMTC1",2.4460632675039
"SYT10",-1.36245384067023
"KIF21A",1.55462536878433
